wrong,right,corpus_count,right_count,observed_count,tier,evidence,category,ticker,market,auditor_models,approved_at,word_boundary,apply_scope
삼성자는,삼성전자는,57,1004,0,A,human,stock,,,,2026-09-02T07:17:14.163984+00:00,True,all
SK 하이네스,SK 하이닉스,56,3241,0,B,auditor-consensus,stock,000660,KOSPI,claude-code/opus;codex/gpt-5.6-sol,2026-08-12T03:44:01.304425+00:00,True,unique
SK 하인,SK하이닉스,50,3241,0,B,auditor-consensus,stock,000660,KOSPI,claude-code/opus;codex/gpt-5.6-sol,2026-08-27T21:47:34.170238+00:00,True,unique
가운칩스,가온칩스,49,2,0,B,auditor-consensus,stock,399720,KOSDAQ,claude-code/opus;codex/gpt-5.6-sol,2026-08-27T21:47:34.170238+00:00,True,unique
SK 하이스,SK하이닉스,45,3241,0,B,auditor-consensus,stock,000660,KOSPI,claude-code/opus;codex/gpt-5.6-sol,2026-08-27T21:47:34.170238+00:00,True,unique
올리브형,올리브영,44,15,2,A,human,other,,,,2026-08-12T04:41:00.736+00:00,True,all
제약 바위,제약 바이오,42,1014,0,A,human,term,,,,2026-08-27T08:45:07.847105+00:00,True,all
지진난주,지지난주,40,91,3,A,human,general,,,,2026-08-12T04:39:00.462+00:00,True,all
K뷰T,K뷰티,39,88,3,A,human,term,,,,2026-08-12T04:39:16.004+00:00,True,all
지정확정 리스크,지정학적 리스크,39,81,2,A,human,term,,,,2026-08-12T11:32:41.294+00:00,True,all
SK하인스,SK하이닉스,39,3241,0,B,auditor-consensus,stock,000660,KOSPI,claude-code/opus;codex/gpt-5.6-sol,2026-08-27T21:47:34.170238+00:00,True,unique
XAI,xAI,39,0,0,B,auditor-consensus,stock,XAI,UNKNOWN,claude-code/opus;codex/gpt-5.6-sol,2026-08-12T03:44:01.304425+00:00,True,unique
삼성 STI,삼성SDI,36,1213,0,B,auditor-consensus,stock,006400,KOSPI,claude-code/opus;codex/gpt-5.6-sol,2026-08-27T21:47:34.170238+00:00,True,unique
블랙락,블랙록,35,269,3,A,human,stock,,,,2026-08-12T04:38:55.418+00:00,True,all
시가총이,시가총액이,34,341,0,B,auditor-consensus,term,,,claude-code/opus;codex/gpt-5.6-sol,2026-08-27T21:47:34.170238+00:00,True,unique
코이브,코어위브,27,38,1,B,goldset-alignment,stock,CRWV,NASDAQ,,2026-08-14T02:45:29.364191+00:00,True,unique
삼성자를,삼성전자를,27,346,0,A,human,stock,,,,2026-09-02T07:17:14.163984+00:00,True,all
컨센스,컨센서스,26,246,1,B,goldset-alignment,term,,,,2026-08-14T02:45:29.364191+00:00,True,unique
아모래 퍼시픽,아모레퍼시픽,26,13,0,B,auditor-consensus,stock,090430,KOSPI,claude-code/opus;codex/gpt-5.6-sol,2026-08-11T23:15:41.649703+00:00,True,all
마이콘 테크놀로지,마이크론 테크놀로지,25,117,2,A,human,stock,,,,2026-08-12T04:42:01.731+00:00,True,all
하잉스,하이닉스,25,9427,0,B,auditor-consensus,stock,000660,KOSPI,claude-code/opus;codex/gpt-5.6-sol,2026-08-27T21:47:34.170238+00:00,True,unique
HBN,HBM,24,1491,1,B,goldset-alignment,stock,,,,2026-08-14T02:45:29.364191+00:00,True,unique
시카총,시가총액,22,841,1,B,goldset-alignment,term,,,,2026-08-14T02:45:29.364191+00:00,True,unique
아이비,IBM,22,46,1,B,goldset-alignment,stock,IBM,NYSE,,2026-08-14T02:45:29.364191+00:00,True,unique
채치T,챗지피티,22,2,1,B,goldset-alignment,stock,OPENAI,UNKNOWN,,2026-08-14T02:45:29.364191+00:00,True,unique
소부 장단에,소부장에,22,79,0,A,human,term,,,,2026-08-27T09:30:57.71453+00:00,True,all
삼성자도,삼성전자도,20,507,0,A,human,stock,,,,2026-09-02T07:17:14.163984+00:00,True,all
삼성자와,삼성전자와,18,1020,0,A,human,stock,,,,2026-09-02T07:17:14.163984+00:00,True,all
신형증권,신영증권,18,4,0,B,auditor-consensus,stock,001720,KOSPI,claude-code/opus;codex/gpt-5.6-sol,2026-08-11T23:15:41.649703+00:00,True,all
가이더스,가이던스,17,738,1,B,goldset-alignment,term,,,,2026-08-14T02:45:29.364191+00:00,True,unique
SK하스,SK하이닉스,17,3241,0,B,auditor-consensus,stock,000660,KOSPI,claude-code/opus;codex/gpt-5.6-sol,2026-08-27T21:47:34.170238+00:00,True,unique
워닝 IPS,원익IPS,15,96,0,B,auditor-consensus,stock,240810,KOSDAQ,claude-code/opus;codex/gpt-5.6-sol,2026-08-12T03:44:01.304425+00:00,True,unique
변동상,변동성,14,3672,1,B,goldset-alignment,term,,,,2026-08-14T02:45:29.364191+00:00,True,unique
SK니스,SK하이닉스,13,3241,1,B,goldset-alignment,stock,000660,KOSPI,,2026-08-14T02:45:29.364191+00:00,True,unique
SK인스,SK하이닉스,13,3241,0,B,auditor-consensus,stock,000660,KOSPI,claude-code/opus;codex/gpt-5.6-sol,2026-08-27T21:47:34.170238+00:00,True,unique
금모 전기,금호전기,13,8,0,B,auditor-consensus,stock,001210,KOSPI,claude-code/opus;codex/gpt-5.6-sol,2026-08-27T21:47:34.170238+00:00,True,unique
ACBM,HBM,12,1491,0,B,auditor-consensus,stock,,,claude-code/opus;codex/gpt-5.6-sol,2026-08-27T21:47:34.170238+00:00,True,unique
기적 분석,기술적 분석,11,56,3,A,human,term,,,,2026-08-12T04:39:36.122+00:00,True,all
코싹이,코스닥이,11,1294,2,A,human,stock,,,,2026-08-12T04:43:47.605+00:00,True,all
반조체,반도체,11,15401,1,B,goldset-alignment,term,,,,2026-08-14T02:45:29.364191+00:00,True,unique
삼성 SDR,삼성 SDI,11,1213,0,B,auditor-consensus,stock,006400,KOSPI,claude-code/opus;codex/gpt-5.6-sol,2026-08-27T21:47:34.170238+00:00,True,unique
단도체,반도체,10,15401,0,B,auditor-consensus,term,,,claude-code/opus;codex/gpt-5.6-sol,2026-08-27T21:47:34.170238+00:00,True,unique
반도지,반도체,9,15401,1,B,goldset-alignment,term,,,,2026-08-14T02:45:29.364191+00:00,True,unique
삼성근자,삼성전자,9,11314,0,B,auditor-consensus,stock,005930,KOSPI,claude-code/opus;codex/gpt-5.6-sol,2026-08-12T03:44:01.304425+00:00,True,unique
"5,억짜리",5천억짜리,8,9,1,A,human,number,,,,2026-08-12T04:45:49.679+00:00,True,all
삼성물사,삼성물산,8,238,0,B,auditor-consensus,stock,028260,KOSPI,claude-code/opus;codex/gpt-5.6-sol,2026-08-27T21:47:34.170238+00:00,True,unique
소부 장단이,소부장이,8,295,0,A,human,term,,,,2026-08-27T09:30:57.796349+00:00,True,all
코리아 서키트,코리아써키트,8,0,0,B,auditor-consensus,stock,007810,KOSPI,claude-code/opus;codex/gpt-5.6-sol,2026-08-27T21:47:34.170238+00:00,True,unique
지정확전 리스크,지정학적 리스크,7,81,2,A,human,term,,,,2026-08-12T11:33:12.597+00:00,True,all
SK하잉,SK하이닉스,7,3241,0,B,auditor-consensus,stock,000660,KOSPI,claude-code/opus;codex/gpt-5.6-sol,2026-08-11T23:15:41.649703+00:00,True,all
해제 펀드,헤지 펀드,6,2,2,A,human,term,,,,2026-08-12T11:33:33.354+00:00,True,all
1라리가,일라이릴리가,6,0,0,B,auditor-consensus,stock,,,claude-code/opus;codex/gpt-5.6-sol,2026-08-27T21:47:34.170238+00:00,True,unique
N디아,엔비디아,6,4787,0,B,auditor-consensus,stock,NVDA,NASDAQ,claude-code/opus;codex/gpt-5.6-sol,2026-08-27T21:47:34.170238+00:00,True,unique
서브라임 모기지,서브프라임 모기지,6,0,0,B,auditor-consensus,term,,,claude-code/opus;codex/gpt-5.6-sol,2026-08-12T00:13:33.031664+00:00,True,unique
역초세,역추세,5,9,2,A,human,term,,,,2026-08-12T04:42:23.949+00:00,True,all
코스픽,코스피,5,5848,0,B,auditor-consensus,stock,^KS11,KOSPI,claude-code/opus;codex/gpt-5.6-sol,2026-08-27T21:47:34.170238+00:00,True,unique
마이크 테크놀로지,마이크론 테크놀로지,4,117,2,A,human,stock,,,,2026-08-12T04:40:11.301+00:00,True,all
스페이스섹스,스페이스X,4,472,1,B,goldset-alignment,stock,SPACEX,UNKNOWN,,2026-08-14T02:45:29.364191+00:00,True,unique
가운전서,가온전선,4,2,0,B,auditor-consensus,stock,000500,KOSPI,claude-code/opus;codex/gpt-5.6-sol,2026-08-27T21:47:34.170238+00:00,True,unique
삼성 바이러스,삼성바이오로직스,4,104,0,B,auditor-consensus,stock,207940,KOSPI,claude-code/opus;codex/gpt-5.6-sol,2026-08-27T21:47:34.170238+00:00,True,unique
삼성 하재,삼성화재,4,79,0,B,auditor-consensus,stock,000810,KOSPI,claude-code/opus;codex/gpt-5.6-sol,2026-08-27T21:47:34.170238+00:00,True,unique
셀트리오,셀트리온,4,206,0,B,auditor-consensus,stock,068270,KOSPI,claude-code/opus;codex/gpt-5.6-sol,2026-08-11T23:15:41.649703+00:00,True,all
소부 장단들,소부장들,4,113,0,A,human,term,,,,2026-08-27T09:30:57.951247+00:00,True,all
예비디아,엔비디아,4,4787,0,B,auditor-consensus,stock,NVDA,NASDAQ,claude-code/opus;codex/gpt-5.6-sol,2026-08-27T21:47:34.170238+00:00,True,unique
유상진자,유상증자,4,329,0,B,auditor-consensus,term,,,claude-code/opus;codex/gpt-5.6-sol,2026-08-12T03:44:01.304425+00:00,True,unique
코스피스,코스피,4,5848,0,B,auditor-consensus,stock,^KS11,KOSPI,claude-code/opus;codex/gpt-5.6-sol,2026-08-27T21:47:34.170238+00:00,True,unique
코스하고,코스닥으로,3,125,2,A,human,stock,,,,2026-08-12T04:43:41.089+00:00,True,all
MCD,MACD,3,22,0,B,auditor-consensus,term,,,claude-code/opus;codex/gpt-5.6-sol,2026-08-12T00:13:33.031664+00:00,True,unique
공배도,공매도,3,352,0,B,auditor-consensus,term,,,claude-code/opus;codex/gpt-5.6-sol,2026-08-12T00:13:33.031664+00:00,True,unique
남마토건,남화토건,3,1,0,B,auditor-consensus,stock,091590,KOSDAQ,claude-code/opus;codex/gpt-5.6-sol,2026-08-11T23:15:41.649703+00:00,True,all
자비디아,엔비디아,3,4787,0,B,auditor-consensus,stock,NVDA,NASDAQ,claude-code/opus;codex/gpt-5.6-sol,2026-08-27T21:47:34.170238+00:00,True,unique
등뜸이는,등 떠미는,2,0,2,A,human,general,,,,2026-08-12T04:41:57.326+00:00,True,all
종목면,종목명,2,154,2,A,human,term,,,,2026-08-12T04:41:06.43+00:00,True,all
"3,억짜리",3천억짜리,2,2,1,A,human,number,,,,2026-08-12T04:45:28.339+00:00,True,all
7라노급,7나노급,2,0,1,A,human,number,,,,2026-08-12T04:46:23.817+00:00,True,all
갤러시,갤럭시,2,153,1,A,human,other,,,,2026-08-12T04:48:00.428+00:00,True,all
나상은,나스닥은,2,150,1,A,human,stock,,,,2026-08-12T04:48:40.82+00:00,True,all
매도체,반도체,2,15401,1,B,goldset-alignment,term,,,,2026-08-14T02:45:29.364191+00:00,True,unique
삼성전나,삼성전자,2,11314,1,B,goldset-alignment,stock,005930,KOSPI,,2026-08-14T02:45:29.364191+00:00,True,unique
AMAMD,AMD,2,378,0,B,auditor-consensus,stock,AMD,NASDAQ,claude-code/opus;codex/gpt-5.6-sol,2026-08-12T03:44:01.304425+00:00,True,unique
HCBM,HBM,2,1491,0,B,auditor-consensus,stock,,,claude-code/opus;codex/gpt-5.6-sol,2026-08-11T23:15:41.649703+00:00,True,all
나마토건,남화토건,2,1,0,B,auditor-consensus,stock,091590,KOSDAQ,claude-code/opus;codex/gpt-5.6-sol,2026-08-11T23:15:41.649703+00:00,True,all
대원전설,대원전선,2,30,0,B,auditor-consensus,stock,006340,KOSPI,claude-code/opus;codex/gpt-5.6-sol,2026-08-11T23:15:41.649703+00:00,True,all
로보노 디스크,노보 노디스크,2,11,0,B,auditor-consensus,stock,NVO,NYSE,claude-code/opus;codex/gpt-5.6-sol,2026-08-27T21:47:34.170238+00:00,True,unique
삼성 불산,삼성물산,2,238,0,B,auditor-consensus,stock,028260,KOSPI,claude-code/opus;codex/gpt-5.6-sol,2026-08-27T21:47:34.170238+00:00,True,unique
삼성전지자,삼성전자,2,11314,0,B,auditor-consensus,stock,005930,KOSPI,claude-code/opus;codex/gpt-5.6-sol,2026-08-27T21:47:34.170238+00:00,True,unique
성도 이행지,성도이엔지,2,0,0,B,auditor-consensus,stock,037350,KOSDAQ,claude-code/opus;codex/gpt-5.6-sol,2026-08-27T21:47:34.170238+00:00,True,unique
성도엔지,성도이엔지,2,0,0,B,auditor-consensus,stock,037350,KOSDAQ,claude-code/opus;codex/gpt-5.6-sol,2026-08-27T21:47:34.170238+00:00,True,unique
성도행지,성도이엔지,2,0,0,B,auditor-consensus,stock,037350,KOSDAQ,claude-code/opus;codex/gpt-5.6-sol,2026-08-27T21:47:34.170238+00:00,True,unique
소부 장단도,소부장도,2,117,0,A,human,term,,,,2026-08-27T09:30:57.86765+00:00,True,all
소부 장단안에서,소부장 안에서,2,32,0,A,human,term,,,,2026-08-27T09:30:57.632248+00:00,True,all
유닛슨,유니슨,2,0,0,B,auditor-consensus,stock,018000,KOSDAQ,claude-code/opus;codex/gpt-5.6-sol,2026-08-27T21:47:34.170238+00:00,True,unique
주성 엔지리어링,주성엔지니어링,2,91,0,B,auditor-consensus,stock,036930,KOSDAQ,claude-code/opus;codex/gpt-5.6-sol,2026-08-12T03:44:01.304425+00:00,True,unique
코스고,코스닥,2,7041,0,B,auditor-consensus,stock,^KQ11,KOSDAQ,claude-code/opus;codex/gpt-5.6-sol,2026-08-11T23:15:41.649703+00:00,True,all
한미약금,한미약품,2,301,0,B,auditor-consensus,stock,128940,KOSPI,claude-code/opus;codex/gpt-5.6-sol,2026-08-27T21:47:34.170238+00:00,True,unique
흥구속,흥구석유,2,1,0,B,auditor-consensus,stock,024060,KOSDAQ,claude-code/opus;codex/gpt-5.6-sol,2026-08-27T21:47:34.170238+00:00,True,unique
ACDS,HTS,1,101,2,A,human,term,,,,2026-08-12T04:44:45.899+00:00,True,all
머비의 법칙,머피의 법칙,1,0,2,A,human,general,,,,2026-08-12T04:42:06.34+00:00,True,all
머표 법칙,머피의 법칙,1,0,2,A,human,general,,,,2026-08-12T04:42:11.532+00:00,True,all
줄린이의 법칙,주린이의 법칙,1,0,2,A,human,term,,,,2026-08-12T04:42:28.749+00:00,True,all
코사 넣어,코스닥 넣어,1,0,2,A,human,stock,,,,2026-08-12T04:42:51.127+00:00,True,all
3무기,3분기,1,1333,1,A,human,number,,,,2026-08-12T04:45:41.239+00:00,True,all
4쪽 보행,사족 보행,1,23,1,A,human,term,,,,2026-08-12T04:45:53.891+00:00,True,all
70 750조,750조,1,12,1,A,human,number,,,,2026-08-12T04:46:18.823+00:00,True,all
MDI,엔비디아,1,4787,1,B,goldset-alignment,stock,NVDA,NASDAQ,,2026-08-14T02:45:29.364191+00:00,True,unique
SM0봉,S&P500 일봉,1,0,1,A,human,number,,,,2026-08-12T04:46:45.994+00:00,True,all
감만해도,감안해도,1,14,1,A,human,general,,,,2026-08-12T04:47:55.805+00:00,True,all
경원자,경영자,1,38,1,A,human,general,,,,2026-08-12T04:48:07.968+00:00,True,all
노크먼트,노코멘트,1,7,1,A,human,general,,,,2026-08-12T04:48:49.439+00:00,True,all
밤도체,반도체,1,15401,1,B,goldset-alignment,term,,,,2026-08-14T02:45:29.364191+00:00,True,unique
브드컴,브로드컴,1,245,1,B,goldset-alignment,stock,AVGO,NASDAQ,,2026-08-14T02:45:29.364191+00:00,True,unique
에스키아닉스,SK하이닉스,1,3241,1,B,goldset-alignment,stock,000660,KOSPI,,2026-08-14T02:45:29.364191+00:00,True,unique
오남이,모나미,1,7,1,B,goldset-alignment,stock,005360,KOSPI,,2026-08-14T02:45:29.364191+00:00,True,unique
오라늄,우라늄,1,26,1,B,goldset-alignment,stock,CCJ,NYSE,,2026-08-14T02:45:29.364191+00:00,True,unique
하이렉스,하이닉스,1,9427,1,B,goldset-alignment,stock,000660,KOSPI,,2026-08-14T02:45:29.364191+00:00,True,unique
AM대,AMD,1,378,0,B,auditor-consensus,stock,AMD,NASDAQ,claude-code/opus;codex/gpt-5.6-sol,2026-08-12T03:44:01.304425+00:00,True,unique
DT 5,DDR5,1,57,0,B,auditor-consensus,term,,,claude-code/opus;codex/gpt-5.6-sol,2026-08-12T00:13:33.031664+00:00,True,unique
FFC,FOMC,1,240,0,B,auditor-consensus,term,,,claude-code/opus;codex/gpt-5.6-sol,2026-08-12T03:44:01.304425+00:00,True,unique
IS%,ISC,1,59,0,B,auditor-consensus,stock,095340,KOSDAQ,claude-code/opus;codex/gpt-5.6-sol,2026-08-12T03:44:01.304425+00:00,True,unique
SK 하이하스,SK하이닉스,1,3241,0,B,auditor-consensus,stock,000660,KOSPI,claude-code/opus;codex/gpt-5.6-sol,2026-08-11T23:15:41.649703+00:00,True,all
SK하인수,SK하이닉스,1,3241,0,B,auditor-consensus,stock,000660,KOSPI,claude-code/opus;codex/gpt-5.6-sol,2026-08-27T21:47:34.170238+00:00,True,unique
남마토원,남화토건,1,1,0,B,auditor-consensus,stock,091590,KOSDAQ,claude-code/opus;codex/gpt-5.6-sol,2026-08-11T23:15:41.649703+00:00,True,all
남화통원,남화토건,1,1,0,B,auditor-consensus,stock,091590,KOSDAQ,claude-code/opus;codex/gpt-5.6-sol,2026-08-11T23:15:41.649703+00:00,True,all
데디아,엔비디아,1,4787,0,B,auditor-consensus,stock,NVDA,NASDAQ,claude-code/opus;codex/gpt-5.6-sol,2026-08-27T21:47:34.170238+00:00,True,unique
라이언 라이엇,라이엇,1,5,0,B,auditor-consensus,stock,RIOT,NASDAQ,claude-code/opus;codex/gpt-5.6-sol,2026-08-12T03:44:01.304425+00:00,True,unique
마이크로님,마이크론,1,1262,0,B,auditor-consensus,stock,MU,NASDAQ,claude-code/opus;codex/gpt-5.6-sol,2026-08-11T23:15:41.649703+00:00,True,all
삼성제카인,삼성전자,1,11314,0,B,auditor-consensus,stock,005930,KOSPI,claude-code/opus;codex/gpt-5.6-sol,2026-08-12T03:44:01.304425+00:00,True,unique
삼성회자,삼성전자,1,11314,0,B,auditor-consensus,stock,005930,KOSPI,claude-code/opus;codex/gpt-5.6-sol,2026-08-27T21:47:34.170238+00:00,True,unique
선신 시스템,서진 시스템,1,36,0,B,auditor-consensus,stock,178320,KOSDAQ,claude-code/opus;codex/gpt-5.6-sol,2026-08-27T21:47:34.170238+00:00,True,unique
소부 장단을,소부장을,1,61,0,A,human,term,,,,2026-08-27T09:30:58.045968+00:00,True,all
슈머로이드,휴머노이드,1,100,0,B,auditor-consensus,term,,,claude-code/opus;codex/gpt-5.6-sol,2026-08-12T03:44:01.304425+00:00,True,unique
아모퍼시피,아모레퍼시픽,1,13,0,B,auditor-consensus,stock,090430,KOSPI,claude-code/opus;codex/gpt-5.6-sol,2026-08-27T21:47:34.170238+00:00,True,unique
컴토스,컴투스,1,21,0,B,auditor-consensus,stock,078340,KOSDAQ,claude-code/opus;codex/gpt-5.6-sol,2026-08-27T21:47:34.170238+00:00,True,unique
코리아 스키트,코리아써키트,1,0,0,B,auditor-consensus,stock,007810,KOSPI,claude-code/opus;codex/gpt-5.6-sol,2026-08-27T21:47:34.170238+00:00,True,unique
한미약만,한미약품,1,301,0,B,auditor-consensus,stock,128940,KOSPI,claude-code/opus;codex/gpt-5.6-sol,2026-08-27T21:47:34.170238+00:00,True,unique
효성 중급업,효성중공업,1,169,0,B,auditor-consensus,stock,298040,KOSPI,claude-code/opus;codex/gpt-5.6-sol,2026-08-27T21:47:34.170238+00:00,True,unique
비슷하라,비스타라,0,0,2,B,goldset-alignment,stock,VST,NYSE,,2026-08-14T02:45:29.364191+00:00,True,unique
우라님,우라늄,0,26,2,B,goldset-alignment,stock,CCJ,NYSE,,2026-08-14T02:45:29.364191+00:00,True,unique
S아닉스,SK하이닉스,0,3241,1,B,goldset-alignment,stock,000660,KOSPI,,2026-08-14T02:45:29.364191+00:00,True,unique
공매돌,공매도,0,352,1,B,goldset-alignment,term,,,,2026-08-14T02:45:29.364191+00:00,True,unique
김에비디아,엔비디아,0,4787,1,B,goldset-alignment,stock,NVDA,NASDAQ,,2026-08-14T02:45:29.364191+00:00,True,unique
마이러크럼,마이크론,0,1262,1,B,goldset-alignment,stock,MU,NASDAQ,,2026-08-14T02:45:29.364191+00:00,True,unique
본동성,변동성,0,3672,1,B,goldset-alignment,term,,,,2026-08-14T02:45:29.364191+00:00,True,unique
엔비어,엔비디아,0,4787,1,B,goldset-alignment,stock,NVDA,NASDAQ,,2026-08-14T02:45:29.364191+00:00,True,unique
엘파벳,알파벳,0,532,1,B,goldset-alignment,stock,GOOGL,NASDAQ,,2026-08-14T02:45:29.364191+00:00,True,unique
유라늄,우라늄,0,26,1,B,goldset-alignment,stock,CCJ,NYSE,,2026-08-14T02:45:29.364191+00:00,True,unique
파운트리,파운드리,0,406,1,B,goldset-alignment,term,,,,2026-08-14T02:45:29.364191+00:00,True,unique
하이니프,하이닉스,0,9427,1,B,goldset-alignment,stock,000660,KOSPI,,2026-08-14T02:45:29.364191+00:00,True,unique
